;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te
23;{'n_estimators': 111, 'max_depth': 5, 'min_data_in_leaf': 58, 'learning_rate': 0.5216326530612245};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7829444444444446;0.675;0.6224012274645186;0.5625;0.5650163612952003;"[[17  1  2  0]
 [ 2  7  9  2]
 [ 1  1 54  4]
 [ 2  1 14  3]]"
24;{'n_estimators': 146, 'max_depth': 9, 'min_data_in_leaf': 35, 'learning_rate': 0.45183673469387753};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7991250000000001;0.675;0.6736111111111112;0.5625;0.5611541796428077;"[[18  0  2  0]
 [ 2  5 11  2]
 [ 2  1 54  3]
 [ 2  0 14  4]]"
25;{'n_estimators': 90, 'max_depth': 8, 'min_data_in_leaf': 37, 'learning_rate': 0.5216326530612245};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8285694444444445;0.65;0.6289160401002507;0.525;0.5386746873815839;"[[15  1  4  0]
 [ 1  6 10  3]
 [ 2  1 54  3]
 [ 1  0 16  3]]"
26;{'n_estimators': 117, 'max_depth': 9, 'min_data_in_leaf': 34, 'learning_rate': 0.5293877551020408};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7953888888888889;0.675;0.6548347398030943;0.5791666666666667;0.5935158769536096;"[[17  0  3  0]
 [ 2  8  9  1]
 [ 1  3 52  4]
 [ 0  1 15  4]]"
27;{'n_estimators': 73, 'max_depth': 11, 'min_data_in_leaf': 23, 'learning_rate': 0.5681632653061224};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7882222222222223;0.6916666666666667;0.6830723961803242;0.5958333333333333;0.6169295332964398;"[[17  1  2  0]
 [ 0  8 10  2]
 [ 1  3 53  3]
 [ 1  0 14  5]]"
28;{'n_estimators': 131, 'max_depth': 11, 'min_data_in_leaf': 40, 'learning_rate': 0.5914285714285714};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8148888888888889;0.6416666666666667;0.5906853343562204;0.5375000000000001;0.538133040365737;"[[17  1  2  0]
 [ 2  5 11  2]
 [ 2  4 51  3]
 [ 1  0 15  4]]"
29;{'n_estimators': 159, 'max_depth': 5, 'min_data_in_leaf': 33, 'learning_rate': 0.6146938775510205};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8014861111111111;0.65;0.6187905844155844;0.5499999999999999;0.5529825908858167;"[[17  1  2  0]
 [ 2  7 11  0]
 [ 2  3 51  4]
 [ 1  0 16  3]]"
30;{'n_estimators': 119, 'max_depth': 7, 'min_data_in_leaf': 33, 'learning_rate': 0.6302040816326531};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8133472222222222;0.6083333333333333;0.549626006904488;0.5125000000000001;0.5067632529920764;"[[18  0  2  0]
 [ 2  4 12  2]
 [ 2  4 48  6]
 [ 0  0 17  3]]"
31;{'n_estimators': 93, 'max_depth': 8, 'min_data_in_leaf': 61, 'learning_rate': 0.4983673469387755};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8105277777777777;0.675;0.6727091359383599;0.5791666666666666;0.586828875769816;"[[18  0  2  0]
 [ 2  6 11  1]
 [ 2  2 52  4]
 [ 1  0 14  5]]"
32;{'n_estimators': 144, 'max_depth': 7, 'min_data_in_leaf': 28, 'learning_rate': 0.6689795918367347};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8154305555555555;0.675;0.6897513391321441;0.5541666666666667;0.573582866686315;"[[16  1  3  0]
 [ 1  5 13  1]
 [ 1  1 55  3]
 [ 1  0 14  5]]"
